tissue,IGH,IGK,IGL
Spleen,5390,7505,5437
Small Intestine - Terminal Ileum,2017,3174,2125
Whole Blood,515,898,670
Artery - Coronary,112,171,118
Artery - Aorta,82,112,80
Artery - Tibial,18,32,21
Minor Salivary Gland,3557,4833,3480
Colon - Transverse,2872,3798,2582
Stomach,843,1364,1003
Colon - Sigmoid,691,763,589
Lung,621,1016,753
Breast - Mammary Tissue,436,695,435
Esophagus - Mucosa,303,571,373
Thyroid,301,468,273
Kidney - Cortex,280,562,316
Bladder,239,343,247
Fallopian Tube,226,450,258
Vagina,168,259,161
Cervix - Endocervix,160,333,161
Liver,143,365,218
Cervix - Ectocervix,135,314,132
Prostate,76,190,113
Uterus,57,124,72
Ovary,49,109,64
Pancreas,42,93,62
Pituitary,21,55,35
Skin - Not Sun Exposed (Suprapubic),20,40,28
Skin - Sun Exposed (Lower leg),11,23,15
Adrenal Gland,32,62,37
Testis,9,22,14
Cells - EBV-transformed lymphocytes,49,54,31
Cells - Transformed fibroblasts,3,9,4
Adipose - Visceral (Omentum),106,158,100
Esophagus - Gastroesophageal Junction,70,129,84
Adipose - Subcutaneous,23,41,25
Heart - Atrial Appendage,18,34,21
Esophagus - Muscularis,15,32,20
Heart - Left Ventricle,9,22,13
Muscle - Skeletal,6,17,9
Nerve - Tibial,20,40,25
Brain - Spinal cord (cervical c-1),5,15,8
Brain - Amygdala,5,12,8
Brain - Cortex,4,10,6
Brain - Hypothalamus,4,10,7
Brain - Caudate (basal ganglia),4,10,5
Brain - Substantia nigra,4,11,7
Brain - Hippocampus,3,9,5
Brain - Putamen (basal ganglia),3,8,5
Brain - Anterior cingulate cortex (BA24),3,7,4
Brain - Nucleus accumbens (basal ganglia),3,9,5
Brain - Cerebellum,3,8,4
Brain - Frontal Cortex (BA9),3,7,4
Brain - Cerebellar Hemisphere,2,5,3