IG,ind_sharing,num_cdr3
IGH,1,1723240
IGH,2,18177
IGH,3,3052
IGH,4,1089
IGH,5,591
IGH,6,313
IGH,7,183
IGH,8,119
IGH,9,98
IGH,10,57
IGH,11,46
IGH,12,39
IGH,13,36
IGH,14,23
IGH,15,104
IGK,1,640723
IGK,2,90579
IGK,3,35726
IGK,4,19529
IGK,5,12381
IGK,6,8631
IGK,7,6364
IGK,8,4800
IGK,9,3800
IGK,10,3092
IGK,11,2616
IGK,12,2098
IGK,13,1892
IGK,14,1536
IGK,15,21054
IGL,1,838946
IGL,2,76199
IGL,3,26338
IGL,4,13320
IGL,5,8044
IGL,6,5401
IGL,7,3809
IGL,8,2898
IGL,9,2331
IGL,10,1797
IGL,11,1462
IGL,12,1150
IGL,13,1043
IGL,14,852
IGL,15,9841